"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I15.L_FLAGS
"",Index of producer prices of industrial products sold on the domestic market / Germany / Calendar and seasonally adjusted / Total,
Conversion english,Average,
Decimals,1,
Source (in english),Calendar and seasonal adjustment based on data provided by the Federal Statistical Office,
Time format code,P1M,
unit,2015=100,
unit multiplier,One,
last update,2021-12-17 08:07:58,
1989-11,73.1,
1989-12,73.2,
1990-01,73.0,
1990-02,73.2,
1990-03,73.3,
1990-04,73.5,
1990-05,73.6,
1990-06,73.7,
1990-07,73.5,
1990-08,73.9,
1990-09,74.2,
1990-10,74.6,
1990-11,74.5,
1990-12,74.3,
1991-01,74.7,
1991-02,74.8,
1991-03,74.7,
1991-04,75.3,
1991-05,75.4,
1991-06,75.5,
1991-07,76.0,
1991-08,76.1,
1991-09,76.3,
1991-10,76.2,
1991-11,76.3,
1991-12,76.3,
1992-01,75.9,
1992-02,76.3,
1992-03,76.5,
1992-04,76.8,
1992-05,76.7,
1992-06,77.0,
1992-07,76.8,
1992-08,76.8,
1992-09,76.7,
1992-10,76.6,
1992-11,76.7,
1992-12,76.7,
1993-01,76.6,
1993-02,76.8,
1993-03,76.8,
1993-04,76.6,
1993-05,76.6,
1993-06,76.6,
1993-07,76.7,
1993-08,76.7,
1993-09,76.4,
1993-10,76.4,
1993-11,76.5,
1993-12,76.6,
1994-01,76.7,
1994-02,76.8,
1994-03,76.9,
1994-04,76.8,
1994-05,76.9,
1994-06,76.9,
1994-07,76.9,
1994-08,77.0,
1994-09,76.9,
1994-10,77.1,
1994-11,77.5,
1994-12,77.7,
1995-01,78.0,
1995-02,78.3,
1995-03,78.5,
1995-04,78.3,
1995-05,78.3,
1995-06,78.4,
1995-07,78.3,
1995-08,78.3,
1995-09,78.4,
1995-10,78.4,
1995-11,78.4,
1995-12,78.6,
1996-01,77.4,
1996-02,77.4,
1996-03,77.3,
1996-04,77.2,
1996-05,77.3,
1996-06,77.2,
1996-07,77.1,
1996-08,77.1,
1996-09,77.4,
1996-10,77.7,
1996-11,77.8,
1996-12,77.9,
1997-01,77.9,
1997-02,78.0,
1997-03,77.9,
1997-04,78.0,
1997-05,78.2,
1997-06,78.2,
1997-07,78.3,
1997-08,78.6,
1997-09,78.6,
1997-10,78.6,
1997-11,78.6,
1997-12,78.7,
1998-01,78.5,
1998-02,78.5,
1998-03,78.6,
1998-04,78.3,
1998-05,78.3,
1998-06,78.2,
1998-07,78.1,
1998-08,78.0,
1998-09,77.9,
1998-10,77.5,
1998-11,77.1,
1998-12,77.1,
1999-01,76.7,
1999-02,76.6,
1999-03,76.6,
1999-04,76.9,
1999-05,76.8,
1999-06,77.0,
1999-07,77.3,
1999-08,77.4,
1999-09,77.5,
1999-10,77.7,
1999-11,77.8,
1999-12,77.9,
2000-01,78.3,
2000-02,78.1,
2000-03,78.2,
2000-04,78.4,
2000-05,78.7,
2000-06,79.0,
2000-07,79.6,
2000-08,79.9,
2000-09,80.6,
2000-10,80.9,
2000-11,81.4,
2000-12,81.4,
2001-01,81.6,
2001-02,81.6,
2001-03,81.8,
2001-04,82.2,
2001-05,82.4,
2001-06,82.4,
2001-07,82.0,
2001-08,82.1,
2001-09,82.2,
2001-10,81.4,
2001-11,81.4,
2001-12,81.4,
2002-01,81.4,
2002-02,81.3,
2002-03,81.6,
2002-04,81.3,
2002-05,81.3,
2002-06,81.3,
2002-07,81.2,
2002-08,81.2,
2002-09,81.3,
2002-10,81.5,
2002-11,81.5,
2002-12,81.9,
2003-01,82.7,
2003-02,82.9,
2003-03,83.0,
2003-04,82.6,
2003-05,82.5,
2003-06,82.4,
2003-07,82.6,
2003-08,82.8,
2003-09,82.9,
2003-10,82.9,
2003-11,83.2,
2003-12,83.4,
2004-01,82.7,
2004-02,82.8,
2004-03,83.1,
2004-04,83.4,
2004-05,83.8,
2004-06,83.7,
2004-07,84.2,
2004-08,84.6,
2004-09,84.7,
2004-10,85.6,
2004-11,85.5,
2004-12,85.8,
2005-01,86.2,
2005-02,86.4,
2005-03,86.7,
2005-04,87.1,
2005-05,87.0,
2005-06,87.4,
2005-07,87.9,
2005-08,88.3,
2005-09,88.6,
2005-10,89.1,
2005-11,89.3,
2005-12,89.8,
2006-01,91.0,
2006-02,91.5,
2006-03,91.7,
2006-04,92.4,
2006-05,92.5,
2006-06,92.5,
2006-07,93.0,
2006-08,93.5,
2006-09,93.1,
2006-10,93.1,
2006-11,93.3,
2006-12,93.6,
2007-01,93.4,
2007-02,93.4,
2007-03,93.2,
2007-04,93.1,
2007-05,93.6,
2007-06,93.6,
2007-07,93.5,
2007-08,93.6,
2007-09,93.7,
2007-10,94.2,
2007-11,95.3,
2007-12,95.4,
2008-01,95.9,
2008-02,96.4,
2008-03,96.7,
2008-04,97.5,
2008-05,98.5,
2008-06,99.4,
2008-07,101.1,
2008-08,100.8,
2008-09,101.1,
2008-10,101.1,
2008-11,99.7,
2008-12,99.3,
2009-01,97.7,
2009-02,97.1,
2009-03,96.4,
2009-04,94.8,
2009-05,94.9,
2009-06,94.7,
2009-07,93.4,
2009-08,93.8,
2009-09,93.5,
2009-10,93.5,
2009-11,93.9,
2009-12,94.0,
2010-01,94.3,
2010-02,94.2,
2010-03,94.6,
2010-04,95.4,
2010-05,95.9,
2010-06,96.4,
2010-07,96.8,
2010-08,96.7,
2010-09,97.0,
2010-10,97.3,
2010-11,97.7,
2010-12,98.3,
2011-01,99.3,
2011-02,99.9,
2011-03,100.5,
2011-04,101.3,
2011-05,101.3,
2011-06,101.4,
2011-07,101.9,
2011-08,101.8,
2011-09,102.0,
2011-10,102.2,
2011-11,102.2,
2011-12,101.7,
2012-01,102.2,
2012-02,102.6,
2012-03,103.1,
2012-04,103.2,
2012-05,102.9,
2012-06,102.6,
2012-07,102.5,
2012-08,102.9,
2012-09,103.3,
2012-10,103.4,
2012-11,103.5,
2012-12,103.2,
2013-01,103.8,
2013-02,103.5,
2013-03,103.2,
2013-04,103.0,
2013-05,102.8,
2013-06,102.6,
2013-07,102.5,
2013-08,102.5,
2013-09,102.8,
2013-10,102.6,
2013-11,102.6,
2013-12,102.8,
2014-01,102.6,
2014-02,102.6,
2014-03,102.2,
2014-04,102.0,
2014-05,101.8,
2014-06,101.8,
2014-07,101.7,
2014-08,101.6,
2014-09,101.7,
2014-10,101.6,
2014-11,101.7,
2014-12,101.1,
2015-01,100.4,
2015-02,100.4,
2015-03,100.5,
2015-04,100.5,
2015-05,100.5,
2015-06,100.4,
2015-07,100.4,
2015-08,100.0,
2015-09,99.7,
2015-10,99.4,
2015-11,99.1,
2015-12,98.8,
2016-01,98.0,
2016-02,97.6,
2016-03,97.5,
2016-04,97.5,
2016-05,98.0,
2016-06,98.3,
2016-07,98.5,
2016-08,98.5,
2016-09,98.4,
2016-10,98.9,
2016-11,99.4,
2016-12,99.9,
2017-01,100.3,
2017-02,100.5,
2017-03,100.5,
2017-04,100.7,
2017-05,100.7,
2017-06,100.7,
2017-07,100.9,
2017-08,101.1,
2017-09,101.6,
2017-10,101.7,
2017-11,101.9,
2017-12,102.1,
2018-01,102.4,
2018-02,102.3,
2018-03,102.3,
2018-04,102.6,
2018-05,103.1,
2018-06,103.6,
2018-07,103.8,
2018-08,104.2,
2018-09,104.7,
2018-10,105.0,
2018-11,105.3,
2018-12,104.9,
2019-01,105.1,
2019-02,105.0,
2019-03,104.8,
2019-04,105.2,
2019-05,105.1,
2019-06,104.8,
2019-07,104.9,
2019-08,104.5,
2019-09,104.7,
2019-10,104.4,
2019-11,104.6,
2019-12,104.7,
2020-01,105.3,
2020-02,104.9,
2020-03,103.9,
2020-04,103.2,
2020-05,102.8,
2020-06,102.9,
2020-07,103.1,
2020-08,103.2,
2020-09,103.6,
2020-10,103.9,
2020-11,104.2,
2020-12,104.9,
2021-01,106.2,
2021-02,106.8,
2021-03,107.8,
2021-04,108.7,
2021-05,110.3,
2021-06,111.7,
2021-07,113.8,
2021-08,115.6,
2021-09,118.4,
2021-10,122.9,
2021-11,124.1,
